SYMBOL,TIMESTAMP,PRICE
AAPL,59:00.0,201.815
GOOGL,59:00.0,168.7195
MSFT,59:00.0,452.4
AMZN,59:00.0,200.9
TSLA,59:00.0,331.71
AAPL,59:00.0,201.5
GOOGL,59:00.0,171.7025
AMZN,59:00.0,202.7604
TSLA,59:00.0,342.21
MSFT,59:00.0,453.585
AAPL,59:00.0,195.9499
GOOGL,59:00.0,168.09
MSFT,59:00.0,450.5
AMZN,59:00.0,200.3699
TSLA,59:00.0,339.84
GOOGL,59:00.0,173.09
AMZN,59:00.0,205.98
TSLA,59:00.0,367.34
AAPL,59:00.0,200.45
MSFT,59:00.0,460.365
AAPL,59:00.0,207.3608
GOOGL,59:00.0,174.98
MSFT,59:00.0,462.25
AMZN,59:00.0,211.51
TSLA,59:00.0,364.6
AAPL,59:00.0,199.1392
AMZN,59:00.0,204.9
GOOGL,59:00.0,170.91
MSFT,59:00.0,456.99
TSLA,59:00.0,355.055
AAPL,59:00.0,202.96
GOOGL,59:00.0,166.63
AMZN,59:00.0,205.83
MSFT,59:00.0,462.35
TSLA,59:00.0,344.4
AAPL,59:00.0,204.472
GOOGL,59:00.0,173.7
AMZN,59:00.0,213.69
MSFT,59:00.0,470.63
TSLA,59:00.0,297.31
GOOGL,59:00.0,176.3
TSLA,59:00.0,314.11
AAPL,59:00.0,201.77
MSFT,59:00.0,471.725
AMZN,59:00.0,217.35
GOOGL,59:00.0,178.82
AAPL,59:00.0,202.87
AMZN,59:00.0,217.525
MSFT,59:00.0,470.4
TSLA,59:00.0,325.1
TSLA,59:00.0,316.9207
GOOGL,59:00.0,175.09
MSFT,59:00.0,477.65
AMZN,59:00.0,212.05
AAPL,59:00.0,198.55
GOOGL,59:00.0,174.6
TSLA,59:00.0,326.938
AMZN,59:00.0,211.86
MSFT,59:00.0,474.39
AAPL,59:00.0,196.37
AAPL,59:00.0,197.25
GOOGL,59:00.0,175.6
TSLA,59:00.0,325.2
AMZN,59:00.0,214
MSFT,59:00.0,475.2
AMZN,59:00.0,210.09
TSLA,59:00.0,322.8496
MSFT,59:00.0,477.65
AAPL,59:00.0,201.28
GOOGL,59:00.0,166.76
